"se_history_id";"se_history_rootid";"se_history_previd";"se_history_nextid";"se_history_ins_batchid";"se_history_mut_batchid";"se_history_sourcekey";"se_history_sourcechecksum";"se_history_validfrom";"se_history_validto";"aanlegdatum";"ander_net";"bovenliggend_asset_collectie";"bovenliggend_asset_id";"change_id";"change_state";"eigenaar";"e_ls_ov_kabelsubgroep_id";"gebruik";"gemerkt";"gis_e_ls_kabel_type_id";"groep_nummer";"groep_volgnummer";"id";"lengte";"ligging_kaart";"master_asset_id";"opmerkingen";"opvoerdatum";"opvoergebruiker";"rwo_id";"sdl_metahistoryrootid";"status";"status_verkort";"stg_metahistoryrootid";"sdl_metahistoryid";"stg_metahistoryid"
1330929;1330929;;3224959;1;3;"1099470";b4b6b744feb29c50dbbd7a77f3b9c779;2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;2020-08-17 00:00:00.000;;e_ls_ov_kabelsubgroep;101722891;0;Active;Enexis;101722891;OV;;4795641963091068140;;;56344276;0.8197908269796632;MULTILINESTRING ((245614.296 575334.4500000001, 245614.332 575333.631));8911140223812937175;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099470;In bedrijf;;818645;;
2802155;1498196;1498196;;3;;"1327033";ce0ab41d8f342001287e4644a7404ab2;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1980-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;5455522426378532502;0;Active;Enexis;5455522426378532502;OV;;4795641963091066975;;;1427609075780754555;4.812844000797284;MULTILINESTRING ((133057.707 395336.776, 133057.048 395337.38800000004, 133056.756 395337.66000000003, 133055.458 395338.866, 133055.267 395339.044), (133054.36800000002 395338.906, 133054.046 395338.558), (133054.36800000002 395338.906, 133054.4703272194 395339.0007211016, 133054.58472373037 395339.07700275927, 133054.70677667923 395339.13190240256, 133054.83177786472 395339.1633022737, 133054.95490535718 395339.16999112064, 133055.07140950472 395339.15171092044, 133055.17679615147 395339.10916683316, 133055.267 395339.044));8410456966804738374; ;2000-03-08 00:00:00.000;hamschre;{0, 0, 0};1327033;In bedrijf;;1099505;3293353;1099505
2802156;1498197;1498197;;3;;"1327034";a642345b3114c7b2bbe8f144beba2c80;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1975-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;5455522426378822940;0;Active;Enexis;5455522426378822940;OV;;4795641963091066975;;;1427609075780754558;47.57211412333036;MULTILINESTRING ((130714.60800000001 398697.927, 130689.871 398707.299, 130681.106 398710.62), (130711.592 398687.119, 130712.17300000001 398688.669, 130712.338 398689.108, 130712.473 398689.466, 130712.879 398690.541, 130715.189 398696.637, 130715.24009621037 398696.826230675, 130715.25329729641 398697.02183177305, 130715.22809594778 398697.2162864536, 130715.16546063827 398697.4021219319, 130715.06779840775 398697.5721966545, 130714.93886236112 398697.7199747448, 130714.78360743857 398697.83977717336, 130714.60800000001 398697.927));8410456966804738375; ;2000-04-18 00:00:00.000;jdeckers;{0, 0, 0};1327034;In bedrijf;;1099506;3293354;1099506
2802157;1498183;1498183;;3;;"1327035";"8ddd74b31c6c324bf5b646eaf6c746e6";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1965-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;5455522426378822930;0;Active;Enexis;5455522426378822930;OV;;4795641963091067152;;;1427609075780754559;22.3477362835702;MULTILINESTRING ((130612.727 398637.105, 130634.473 398631.954));8410456966804738376;   ;2000-04-18 00:00:00.000;jdeckers;{0, 0, 0};1327035;In bedrijf;;1099507;3293355;1099507
2802158;1498184;1498184;;3;;"1327036";"9fee989150ebbb212876aeebd1897bed";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1963-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;5455522426378822803;0;Active;Enexis;5455522426378822803;OV;;4795641963091066975;;;1427609075780754561;50.87312795929461;MULTILINESTRING ((131153.98 398994.574, 131152.633 398994.868), (131153.98 398994.574, 131154.084 398994.55100000004, 131154.26239419833 398994.4732073134, 131154.3973111279 398994.33274188254, 131154.4681220482 398994.15108081157, 131154.464 398993.956, 131151.76 398981.767, 131149.222 398970.327, 131148.786 398968.36100000003, 131147.677 398963.36100000003, 131146.814 398959.264, 131144.323 398947.434, 131144.2468174801 398947.2573710032, 131144.1087014038 398947.1286426838, 131143.92967774358 398947.06741187786, 131143.737 398947.083, 131143.518 398947.093));8410456966804738377; ;2000-01-25 00:00:00.000;dimnk;{0, 0, 0};1327036;In bedrijf;;1099508;3293356;1099508
2802159;1498198;1498198;;3;;"1327037";"3f9c1681367ea0eb84eb822c7ff7712c";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1969-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;5455522426378533354;0;Active;Enexis;5455522426378533354;OV;;4795641963091066975;;;1427609075780754562;22.731876656860138;MULTILINESTRING ((130515.39600000001 399475.835, 130515.37884835355 399475.7268865868, 130515.34220971538 399475.62358492904, 130515.28731310635 399475.52856021794, 130515.216 399475.445, 130512.079 399472.401, 130506.186 399467.255, 130502.42 399463.539, 130499.30900000001 399459.979, 130499.257 399459.919));8410456966804738378; ;1999-10-18 00:00:00.000;dijll;{0, 0, 0};1327037;In bedrijf;;1099509;3293357;1099509
2802160;1498199;1498199;;3;;"1327038";"514898f055692c91dddc773e025d83dd";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1968-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;96085853;0;Active;Enexis;96085853;LS/OV;;4795641963091068694;;;1427609075780762894;20.844044025934867;MULTILINESTRING ((206643.863 479278.157, 206646.785 479271.516, 206648.788 479265.609), (206643.32 479279.78, 206643.78100000002 479278.395, 206643.863 479278.157), (206641.66 479285.17, 206642.041 479283.93700000003), (206642.041 479283.93700000003, 206642.956 479280.973, 206643.151 479280.33400000003, 206643.19 479280.206, 206643.246 479280.023, 206643.317 479279.79000000004, 206643.32 479279.78));8410456966804738379;;2007-06-11 00:00:00.000;DISIS Migratie zwl;{0, 0, 0};1327038;In bedrijf;;1099510;3293358;1099510
2802161;346006;346006;;3;;"1327039";"67f0a56f9f5e3bcc75bd192d8a8ce7c8";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;2013-12-12 00:00:00.000;;e_ls_ov_kabelsubgroep;96085853;0;Active;Enexis;96085853;LS/OV;;4795641963091068660;;;1427609075780762895;42.68359768809;MULTILINESTRING ((206641.12900000002 479288.61600000004, 206641.342 479288.096, 206641.446 479287.134, 206641.66 479285.17), (206636.015 479304.042, 206637.297 479299.993), (206635.757 479304.493, 206636.015 479304.042), (206634.564 479308.173, 206635.757 479304.493), (206633.497 479311.283, 206634.4 479308.669), (206632.067 479315.173, 206633.497 479311.283), (206630.807 479319.193, 206632.067 479315.173), (206629.16700000002 479323.32300000003, 206630.807 479319.193), (206627.51 479324.9, 206628.06 479323.86, 206629.082 479323.487, 206629.16700000002 479323.32300000003), (206637.297 479299.993, 206641.12900000002 479288.61600000004), (206634.4 479308.669, 206634.477 479308.441, 206634.564 479308.173));8410456966804738380;;2014-01-22 00:00:00.000;wabdulm1;{0, 0, 0};1327039;In bedrijf;;1099511;3293359;1099511
2802162;346007;346007;;3;;"1327040";a671f26fa31d3d682cd6b23580c901ba;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;2014-01-22 00:00:00.000;;e_ls_ov_kabelsubgroep;92675122;0;Active;Enexis;92675122;LS/OV;;4795641963091068203;;;1427609075780767202;1.086211765725266;MULTILINESTRING ((264229.212 487010.13300000003, 264228.132 487010.249));8410456966804738405;;2014-02-03 00:00:00.000;haltena;{0, 0, 0};1327040;In bedrijf;;1099537;3293360;1099537
1330934;1330934;;3204192;1;3;"1099477";"0807e78a4eebec2c34866feac78df05e";2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;1975-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;101621214;0;Active;Enexis;101621214;LS;;4795641963091067650;;;56315784;103.58083830236188;MULTILINESTRING ((234932.275 565648.027, 234931.305 565650.056, 234929.055 565654.765, 234928.46600000001 565655.6950000001, 234927.032 565657.961), (234927.032 565657.961, 234921.293 565669.363, 234921.282 565669.386, 234920.157 565671.621, 234911.465 565687.857, 234911.371 565688.028, 234902.802 565703.561, 234901.726 565705.511, 234901.238 565706.383, 234895.21 565717.165, 234893.404 565720.395, 234890.797 565724.87, 234884.388 565735.87, 234883.57700000002 565737.25, 234882.829 565738.523, 234882.616 565738.885));8410456966804462766;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099477;In bedrijf;;792310;;
1330941;1330941;;3204207;1;3;"1099488";a07a09f504a60edddaa2806d0c6569ce;2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;1965-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;101621354;0;Active;Enexis;101621354;LS;;4795641963091067113;;;56315802;4.621106444706836;MULTILINESTRING ((234407.55000000002 566009.109, 234407.56100000002 566011.101), (234407.56100000002 566011.101, 234410.19 566011.081));8410456966804462784;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099488;In bedrijf;;792327;;
2802163;346008;346008;;3;;"1327041";"2bbc0a4e5406261063ad6811bc667f63";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1968-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;96085853;0;Active;Enexis;96085853;LS/OV;;4795641963091068694;;;1427609075780762901;38.45586638054269;MULTILINESTRING ((206615.12 479361.29000000004, 206617.304 479356.016, 206619.86800000002 479348.428, 206620.239 479347.33, 206620.263 479347.26, 206627.51 479324.9));8410456966804738382;;2007-06-11 00:00:00.000;DISIS Migratie zwl;{0, 0, 0};1327041;In bedrijf;;1099513;3293361;1099513
2802164;1498201;1498201;;3;;"1327042";"30391a812dc0f1426b514ca48691bcff";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;2013-12-12 00:00:00.000;;e_ls_ov_kabelsubgroep;96085853;0;Active;Enexis;96085853;LS/OV;;4795641963091068660;;;1427609075780762903;14.817591224431222;MULTILINESTRING ((206615.12 479361.29000000004, 206615.128 479361.355, 206615.215 479362.058, 206613.99 479365.11), (206613.99 479365.11, 206613.62 479366.01, 206612.32 479369.59, 206611.34 479372.63), (206611.34 479372.63, 206611.323 479372.683, 206610.96 479373.86, 206610.263 479375.179));8410456966804738383;;2014-01-29 00:00:00.000;wabdulm1;{0, 0, 0};1327042;In bedrijf;;1099514;3293362;1099514
2802165;1498202;1498202;;3;;"1327043";e28070d7d3a3b200e1986ac9e263b6e5;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1968-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;96085853;0;Active;Enexis;96085853;LS/OV;;4795641963091068694;;;1427609075780762904;20.651770847502235;MULTILINESTRING ((206603.461 479394.673, 206609.242 479378.636, 206610.263 479375.179));8410456966804738384;;2007-06-11 00:00:00.000;DISIS Migratie zwl;{0, 0, 0};1327043;In bedrijf;;1099515;3293363;1099515
2802166;1498203;1498203;;3;;"1327044";b5d8632d115f00d22d4657d580343f7c;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;2013-12-17 00:00:00.000;;e_ls_ov_kabelsubgroep;1427609075781000841;0;Active;Enexis;1427609075781000841;LS/OV;;4795641963091068203;;;1427609075780762919;4.7575742286027785;MULTILINESTRING ((207184.49 476461.167, 207184.875 476461.018), (207180.44 476462.74, 207182.465 476461.954, 207184.49 476461.167));8410456966804738395;;2014-02-26 00:00:00.000;wabdulm1;{0, 0, 0};1327044;In bedrijf;;1099525;3293364;1099525
2802167;1511213;1511213;;3;;"1344775";"3e91fb879da507be9e4b50522529864d";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1976-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;5455522426375121062;0;Active;Enexis;5455522426375121062;OV;;4795641963091067032;;;1593733523116874305;24.57763744057739;MULTILINESTRING ((166341.403 403958.88, 166341.355 403965.48, 166341.346 403966.78, 166341.263 403978.291, 166341.255 403979.387, 166341.226 403983.457));8410456966804762705; ;1995-11-08 00:00:00.000;adri;{0, 0, 0};1344775;In bedrijf;;1123499;3311809;1123499
2802168;1498205;1498205;;3;;"1327046";"743420704b86cc9feaea192d5f666be3";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;2014-01-24 00:00:00.000;;e_ls_ov_kabelsubgroep;1427609075780940455;0;Active;Enexis;1427609075780940455;LS;;4795641963091067739;;;1427609075780762906;182.23908852002103;MULTILINESTRING ((221553.527 492508.68, 221553.491 492508.08, 221553.28100000002 492507.50800000003, 221553.988 492505.539, 221554.36000000002 492504.581, 221554.98 492503.746, 221556.261 492502.063, 221556.34100000001 492501.886), (221557.386 492496.94800000003, 221557.87 492494.658), (221557.87 492494.658, 221558.983 492488.762), (221558.983 492488.762, 221559.051 492488.405), (221559.051 492488.405, 221559.142 492488.197, 221559.795 492488.00200000004, 221566.228 492489.087, 221571.586 492490.075, 221574.821 492490.485, 221577.871 492490.639, 221580.271 492489.87700000004, 221582.01200000002 492488.38300000003, 221582.866 492487.12, 221583.454 492485.185, 221584.019 492483.257, 221584.297 492480.34, 221584.58800000002 492479.75800000003, 221585.21600000001 492479.66500000004), (221585.21600000001 492479.66500000004, 221591.171 492480.405), (221591.171 492480.405, 221593.733 492481.065, 221596.592 492481.478, 221597.505 492481.36600000004, 221597.98500000002 492480.255, 221598.916 492471.032, 221600.412 492458.863), (221600.412 492458.863, 221601.536 492451.881), (221601.536 492451.881, 221603.355 492439.44800000003, 221606.339 492418.902, 221608.468 492405.13300000003, 221609.57200000001 492396.56200000003, 221609.829 492395.792, 221610.475 492395.66000000003, 221619.603 492397.265, 221628.744 492399.522, 221631.202 492399.951, 221634.144 492400.298, 221637.34100000001 492400.868), (221556.34100000001 492501.886, 221557.386 492496.94800000003));8410456966804738386;;2014-02-06 00:00:00.000;wabdulm1;{0, 0, 0};1327046;In bedrijf;;1099517;3293365;1099517
2802169;1498206;1498206;;3;;"1327047";f6f9838fa7a45c8db4bb95de8a7e92f8;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1960-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;96084709;0;Active;Enexis;96084709;LS;;4795641963091068600;;;1427609075780762907;88.33261979382047;MULTILINESTRING ((216377.842 471885.576, 216377.95 471885.62200000003, 216379.734 471886.378, 216382.86800000002 471887.707, 216383.56100000002 471885.762, 216392.846 471859.71, 216393.516 471857.57, 216386.718 471855.12200000003, 216380.662 471852.941, 216367.19700000001 471848.262, 216357.283 471844.711, 216345.994 471841.503, 216345.296 471841.305));8410456966804738387;;2007-06-12 00:00:00.000;DISIS Migratie zwl;{0, 0, 0};1327047;In bedrijf;;1099518;3293366;1099518
2802170;1498207;1498207;;3;;"1327048";"7c5c675ba080d7aca992435442e5ee58";2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1968-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;96094143;0;Active;Enexis;96094143;LS/OV;;4795641963091068483;;;1427609075780762908;18.114609990265517;MULTILINESTRING ((207241.507 476412.777, 207237.799 476414.47000000003, 207233.672 476416.09500000003, 207233.52300000002 476416.15400000004, 207227.845 476418.39, 207224.737 476419.614));8410456966804738388;;2007-06-11 00:00:00.000;DISIS Migratie zwl;{0, 0, 0};1327048;In bedrijf;;1099519;3293367;1099519
1330945;1330945;;3204217;1;3;"1099497";"395252f68babeca72b1a52df6d024a68";2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;1968-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;101621300;0;Active;Enexis;101621300;OV;;4795641963091067137;;;56315817;124.99646092466298;MULTILINESTRING ((234475.622 565974.655, 234475.763 566000, 234475.779 566002.87, 234476.45 566009.171, 234476.634 566010.186), (234477.19 566011.807, 234482.458 566031.022, 234482.934 566032.76), (234422.392 565975.007, 234437.28100000002 565973.828, 234475.622 565974.655), (234482.584 566032.835, 234482.934 566032.76), (234482.195 566032.917, 234482.584 566032.835), (234476.634 566010.186, 234477.19 566011.807), (234422.392 565975.007, 234410.46 565975.0480000001));8410456966804462792;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099497;Buiten bedrijf;(BB);792335;;
1330946;1330946;;3204218;1;3;"1099498";"7d04124f447889e2f72348b369aef58e";2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;1968-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;101621116;0;Active;Enexis;101621116;OV;;4795641963091067104;;;56315854;36.84746248461392;MULTILINESTRING ((234656.813 565752.454, 234661.426 565747.415), (234661.426 565747.415, 234661.87600000002 565746.924), (234661.87600000002 565746.924, 234670.416 565753.99, 234672.57200000001 565755.774, 234678.855 565761.2880000001, 234683.192 565765.215), (234655.964 565753.381, 234656.813 565752.454));8410456966804462827;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099498;In bedrijf;;792369;;
1330950;1330950;;3204225;1;3;"1099502";c5dadb9410e3ea129c8769a3f5d3b28f;2022-12-06 11:45:00.000;2023-01-17 11:39:00.000;1973-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;101621190;0;Active;Enexis;101621190;LS;;4795641963091067650;;;56316032;4.325953560112531;MULTILINESTRING ((234793.193 565760.56, 234793.304 565762.056), (234793.123 565758.961, 234794.345 565758.871), (234793.123 565758.961, 234793.193 565760.56));8410456966804463000;;2007-09-01 00:00:00.000;DISIS Migratie grn;{0, 0, 0};1099502;In bedrijf;;792535;;
2802171;1498208;1498208;;3;;"1327049";b3e564faea7282ca3dbb76a182ee8d62;2023-01-17 11:39:00.000;9999-12-31 23:59:59.000;1982-12-25 00:00:00.000;;e_ls_ov_kabelsubgroep;89288478;0;Active;Enexis;89288478;OV;;4795641963091069118;;;1427609075780771496;265.17277438695714;MULTILINESTRING ((195765.888 316394.248, 195784.38700000002 316398.221, 195793.581 316400.3, 195810.298 316404.081), (195765.888 316394.248, 195747.005 316390.267, 195720.317 316384.64, 195705.49300000002 316382.12, 195698.818 316380.979, 195689.047 316379.309, 195663.92500000002 316376.756, 195648.786 316376.575, 195648.396 316376.572, 195621.728 316376.34500000003, 195598.171 316377.74, 195588.25400000002 316378.264, 195588.15969927385 316378.2613377609, 195588.06894699676 316378.2354939924, 195587.98736316428 316378.1880691155, 195587.92 316378.12200000003, 195587.88026924152 316378.0413748554, 195587.8207094184 316377.97404750396, 195587.7455194098 316377.92476442416, 195587.66 316377.897, 195549.037 316380.05700000003, 195548.88374971203 316380.0617684772, 195548.74099420974 316380.0848202809, 195548.6126390937 316380.1255247446, 195548.502195989 316380.18276824825, 195548.41268647194 316380.2549846859, 195548.34655940387 316380.34019831195, 195548.3056239332 316380.436077795, 195548.291 316380.54));8410456966804738429; ;2002-09-18 00:00:00.000;gdaamen;{0, 0, 0};1327049;In bedrijf;;1099561;3293368;1099561
